station_mac,first_seen,manufacturer,power,probed_ssid,last_seen,riot_id,current_ap_bssid,current_ap_essid,poweron_mac,fip_essid,time
44:80:EB:B9:BA:C0,2015-10-20T10:29:42-03:00,Unknown,-57,"SODET,TIM Wi-Fi SIM,CLARO-WIFI,Personal EAP,MOVISTAR WIFI,VIVO-WIFI,GVT-809E,TSI@ccess-38601 (4141-2433),SODET SP,WZ-HOTEIS",2015-10-20T12:01:11-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353276
68:17:29:50:0B:04,2015-10-20T10:29:39-03:00,Intel Corporate,-51,,2015-10-20T12:01:12-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353276
00:80:92:B7:C7:1B,2015-10-20T10:29:57-03:00,"Silex Technology, Inc.",-53,,2015-10-20T12:01:06-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353276
7C:E9:D3:CA:9D:C4,2015-10-20T10:29:38-03:00,"Hon Hai Precision Ind. Co.,Ltd.",-51,SODET,2015-10-20T12:01:12-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353276
40:0E:85:2C:A9:7C,2015-10-20T10:34:07-03:00,"Samsung Electro Mechanics co.,LTD.",-55,SODET,2015-10-20T12:01:09-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353276
5C:51:88:D4:43:F1,2015-10-20T10:30:15-03:00,Unknown,-47,,2015-10-20T12:01:07-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353276
68:17:29:00:30:48,2015-10-20T10:29:38-03:00,Intel Corporate,-43,,2015-10-20T12:01:12-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353276
C0:BD:D1:E7:5B:03,2015-10-20T10:30:15-03:00,"Samsung Electro Mechanics co., LTD.",-81,SODET,2015-10-20T12:01:20-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353286
9C:D9:17:E0:7B:29,2015-10-20T10:31:33-03:00,Motorola Mobility LLC,-75,SODET,2015-10-20T12:01:22-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353286
DC:2B:61:2F:1D:87,2015-10-20T11:45:49-03:00,Apple,-85,"HWF3C41,RAIZES_INT,VIVO Wi-Fi,UH 02,DH01,DH02,FAC,DH03,GVT-6DFB,Ordones Clientes",2015-10-20T12:01:20-03:00,001,,,,,1445353286
F8:CF:C5:88:57:4E,2015-10-20T11:37:13-03:00,Unknown,-75,"TACARUNA,XT1058 9947,PACOALFANDEGA,WiFi_ShoppingRecife,oncologia interno,Disney-Guest,Springhill_Guest,Linktel Wifi,NET-VIRTUA-WIFI,GVT-0F92",2015-10-20T12:01:15-03:00,001,,,,,1445353286
CC:C3:EA:78:0C:D5,2015-10-20T11:47:17-03:00,Motorola Mobility LLC,-71,,2015-10-20T12:01:14-03:00,001,,,,,1445353286
14:1A:A3:6C:7C:80,2015-10-20T10:29:54-03:00,Motorola Mobility LLC,-55,SODET,2015-10-20T12:01:20-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353286
2C:59:E5:BE:1B:43,2015-10-20T10:29:38-03:00,Hewlett Packard,-57,,2015-10-20T12:01:22-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353286
40:0E:85:2C:A9:7C,2015-10-20T10:34:07-03:00,"Samsung Electro Mechanics co.,LTD.",-55,SODET,2015-10-20T12:01:22-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353286
F4:F1:E1:7C:25:02,2015-10-20T10:29:51-03:00,Motorola Mobility LLC,-53,,2015-10-20T12:01:15-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353286
68:17:29:50:0B:04,2015-10-20T10:29:39-03:00,Intel Corporate,-59,,2015-10-20T12:01:22-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353286
7C:E9:D3:CA:9D:C4,2015-10-20T10:29:38-03:00,"Hon Hai Precision Ind. Co.,Ltd.",-51,SODET,2015-10-20T12:01:22-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353286
68:17:29:00:30:48,2015-10-20T10:29:38-03:00,Intel Corporate,-41,,2015-10-20T12:01:22-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353286
38:59:F9:29:E7:C7,2015-10-20T10:30:17-03:00,"Hon Hai Precision Ind. Co.,Ltd.",-85,sgpNET,2015-10-20T12:01:33-03:00,001,,,,,1445353296
8C:3A:E3:09:8C:83,2015-10-20T10:29:38-03:00,LG Electronics,-85,,2015-10-20T12:01:31-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353296
E8:91:20:C3:E4:1F,2015-10-20T11:52:08-03:00,Unknown,-85,"redelocal,Lucco Espinheiro,DINHA_GVT,O Camarada Espinheiro,TOMASELLI_NET,Carlinhos Cabelereiro,CLARO-WIFI,GVT-E25C,TIM Wi-Fi SIM,VIVO-WIFI",2015-10-20T12:01:32-03:00,001,,,,,1445353296
14:1A:A3:6C:7C:80,2015-10-20T10:29:54-03:00,Motorola Mobility LLC,-79,SODET,2015-10-20T12:01:28-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353296
C0:BD:D1:E7:5B:03,2015-10-20T10:30:15-03:00,"Samsung Electro Mechanics co., LTD.",-77,SODET,2015-10-20T12:01:30-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353296
9C:D9:17:E0:7B:29,2015-10-20T10:31:33-03:00,Motorola Mobility LLC,-53,SODET,2015-10-20T12:01:32-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353296
2C:59:E5:BE:1B:43,2015-10-20T10:29:38-03:00,Hewlett Packard,-57,,2015-10-20T12:01:32-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353296
00:80:92:B7:C7:1B,2015-10-20T10:29:57-03:00,"Silex Technology, Inc.",-51,,2015-10-20T12:01:32-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353296
7C:E9:D3:CA:9D:C4,2015-10-20T10:29:38-03:00,"Hon Hai Precision Ind. Co.,Ltd.",-53,SODET,2015-10-20T12:01:32-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353296
68:17:29:50:0B:04,2015-10-20T10:29:39-03:00,Intel Corporate,-53,,2015-10-20T12:01:32-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353296
5C:51:88:D4:43:F1,2015-10-20T10:30:15-03:00,Unknown,-49,,2015-10-20T12:01:31-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353296
68:17:29:00:30:48,2015-10-20T10:29:38-03:00,Intel Corporate,-41,,2015-10-20T12:01:32-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353296
8C:00:6D:1F:24:FC,2015-10-20T15:48:01-03:00,Apple,-89,SDEC,2015-10-20T15:51:42-03:00,001,C8:3A:35:23:6F:F0,SDEC,,,1445367103
00:F4:6F:D0:21:15,2015-10-20T15:45:37-03:00,"Samsung Elec Co.,Ltd",-73,,2015-10-20T15:51:41-03:00,001,,,,,1445367103
E4:CE:8F:48:40:E8,2015-10-20T12:48:36-03:00,Apple,-87,"guestnet 6,HOTEL ARMACAO,CLARO-WIFI2,CPD-FCAP03,FCAP - POS,TP-LINK_3A0C20,Ser Wi-Fi,ARMACAO EVENTOS,CPD-FCAP00,CAMPUSPARTY-1",2015-10-20T15:51:37-03:00,001,,,,,1445367103
E4:8B:7F:EB:95:D1,2015-10-20T10:37:32-03:00,Apple,-67,SODET,2015-10-20T15:51:32-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367103
8C:3A:E3:09:8C:83,2015-10-20T10:29:38-03:00,LG Electronics,-61,"SODET,IKW-WIFI",2015-10-20T15:51:40-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367103
7C:E9:D3:CA:9D:C4,2015-10-20T10:29:38-03:00,"Hon Hai Precision Ind. Co.,Ltd.",-59,"SODET,IKW-WIFI",2015-10-20T15:51:29-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367103
00:80:92:B7:C7:1B,2015-10-20T10:29:57-03:00,"Silex Technology, Inc.",-53,,2015-10-20T15:51:37-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367103
68:17:29:50:0B:04,2015-10-20T10:29:39-03:00,Intel Corporate,-51,,2015-10-20T15:51:42-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367103
70:14:A6:37:D4:E9,2015-10-20T12:04:21-03:00,Unknown,-49,SODET,2015-10-20T15:51:41-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367103
C0:BD:D1:E7:5B:03,2015-10-20T10:30:15-03:00,"Samsung Electro Mechanics co., LTD.",-47,SODET,2015-10-20T15:51:40-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367103
60:03:08:91:8D:A0,2015-10-20T13:12:36-03:00,Apple,-51,SODET,2015-10-20T15:51:42-03:00,001,,,,,1445367103
68:17:29:00:30:48,2015-10-20T10:29:38-03:00,Intel Corporate,-45,,2015-10-20T15:51:42-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367103
98:E0:D9:75:69:B7,2015-10-20T10:48:04-03:00,Unknown,-35,SODET,2015-10-20T15:51:30-03:00,001,,,,,1445367103
14:2D:27:E2:00:09,2015-10-20T10:32:24-03:00,"Hon Hai Precision Ind. Co.,Ltd.",-89,SDEC,2015-10-20T15:51:46-03:00,001,C8:3A:35:23:6F:F0,SDEC,,,1445367113
8C:00:6D:1F:24:FC,2015-10-20T15:48:01-03:00,Apple,-89,SDEC,2015-10-20T15:51:45-03:00,001,C8:3A:35:23:6F:F0,SDEC,,,1445367113
5C:51:88:D4:43:F1,2015-10-20T10:30:15-03:00,Unknown,-83,"_VIRACOPOS GRATIS - LINKTEL,Cyber,IONE 3 ANDAR,WifiLab-Irineu,GVT-A4F0,La Cantina,CINUFPE,Escola Irineu de Pontes Vieira,CONTAB,WiFi Gratis - NET Virtua",2015-10-20T15:51:51-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367113
E4:CE:8F:48:40:E8,2015-10-20T12:48:36-03:00,Apple,-77,"Shopping_Guararapes,VLWiFiBAGA1,borgatcafe,Moura's Home,TP-LINK_8F63A8,TACARUNA,ShoppingRecife,FCAP-NEW,GOL NO AR,GALO",2015-10-20T15:51:45-03:00,001,,,,,1445367113
E4:8B:7F:EB:95:D1,2015-10-20T10:37:32-03:00,Apple,-67,SODET,2015-10-20T15:51:49-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367113
8C:3A:E3:09:8C:83,2015-10-20T10:29:38-03:00,LG Electronics,-61,"SODET,IKW-WIFI",2015-10-20T15:51:49-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367113
44:80:EB:B9:BA:C0,2015-10-20T10:29:42-03:00,Unknown,-59,"SODET,TIM Wi-Fi SIM,CLARO-WIFI,Personal EAP,MOVISTAR WIFI,VIVO-WIFI,GVT-809E,TSI@ccess-38601 (4141-2433),SODET SP,WZ-HOTEIS",2015-10-20T15:51:47-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367113
F0:27:65:58:21:84,2015-10-20T10:30:02-03:00,"Murata Manufactuaring Co.,Ltd.",-51,SODET,2015-10-20T15:51:51-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367113
E0:75:7D:84:32:0B,2015-10-20T10:29:44-03:00,Motorola Mobility LLC,-53,,2015-10-20T15:51:47-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367113
68:17:29:50:0B:04,2015-10-20T10:29:39-03:00,Intel Corporate,-51,,2015-10-20T15:51:52-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367113
70:14:A6:37:D4:E9,2015-10-20T12:04:21-03:00,Unknown,-47,SODET,2015-10-20T15:51:48-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367113
C0:BD:D1:E7:5B:03,2015-10-20T10:30:15-03:00,"Samsung Electro Mechanics co., LTD.",-47,SODET,2015-10-20T15:51:49-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367113
68:17:29:00:30:48,2015-10-20T10:29:38-03:00,Intel Corporate,-43,,2015-10-20T15:51:52-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367113
2C:F0:EE:BB:4F:18,2015-10-20T15:51:45-03:00,Apple,-1,,2015-10-20T15:51:45-03:00,001,C8:3A:35:23:6F:F0,SDEC,,,1445367113
48:86:E8:7E:AD:34,2015-10-20T15:31:59-03:00,Microsoft Corporation,-91,"Veiga,Vinicius,G2 mini_48167q",2015-10-20T15:51:57-03:00,001,,,,,1445367123
E4:CE:8F:48:40:E8,2015-10-20T12:48:36-03:00,Apple,-87,"Wi-Fi Plaza L05_01,hospedaria 3 andar,GOL NO AR,sgpNET,TP-LINK_8F63A8,TACARUNA,ShoppingRecife,GVT-D0F9,HRAPA,ACUCAR E AFETO",2015-10-20T15:51:53-03:00,001,,,,,1445367123
00:F4:6F:D0:21:15,2015-10-20T15:45:37-03:00,"Samsung Elec Co.,Ltd",-83,,2015-10-20T15:52:01-03:00,001,,,,,1445367123
00:22:FB:52:E4:F6,2015-10-20T10:30:33-03:00,Intel Corporate,-81,sgpNET,2015-10-20T15:51:59-03:00,001,,,,,1445367123
9C:D3:5B:3D:D6:E6,2015-10-20T15:50:40-03:00,Unknown,-81,"TIM Wi-Fi SIM,pizzaeiaatlanrico",2015-10-20T15:51:58-03:00,001,,,,,1445367123
E4:8B:7F:EB:95:D1,2015-10-20T10:37:32-03:00,Apple,-71,SODET,2015-10-20T15:51:59-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367123
8C:3A:E3:09:8C:83,2015-10-20T10:29:38-03:00,LG Electronics,-65,"SODET,IKW-WIFI",2015-10-20T15:52:02-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367123
F0:27:65:58:21:84,2015-10-20T10:30:02-03:00,"Murata Manufactuaring Co.,Ltd.",-53,SODET,2015-10-20T15:51:59-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367123
70:14:A6:37:D4:E9,2015-10-20T12:04:21-03:00,Unknown,-49,SODET,2015-10-20T15:52:02-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367123
68:17:29:50:0B:04,2015-10-20T10:29:39-03:00,Intel Corporate,-49,,2015-10-20T15:52:02-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367123
C0:BD:D1:E7:5B:03,2015-10-20T10:30:15-03:00,"Samsung Electro Mechanics co., LTD.",-45,SODET,2015-10-20T15:52:01-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367123
68:17:29:00:30:48,2015-10-20T10:29:38-03:00,Intel Corporate,-43,,2015-10-20T15:52:02-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445367123
00:80:92:B7:C7:1B,2015-10-20T10:29:57-03:00,"Silex Technology, Inc.",-51,,2015-10-20T15:15:56-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364960
96:9E:62:B8:1F:6F,2015-10-20T15:15:45-03:00,Unknown,-89,"GVT-7EE2,DELTA EXPRESSO,TACARUNA,hospedaria 3 andar",2015-10-20T15:15:50-03:00,001,,,,,1445364960
18:22:7E:00:C9:67,2015-10-20T13:54:02-03:00,"Samsung Electronics Co.,Ltd",-83,,2015-10-20T15:15:50-03:00,001,,,,,1445364960
A0:99:9B:64:0F:23,2015-10-20T11:50:40-03:00,Unknown,-91,"SODET,IKW-WIFI",2015-10-20T15:15:57-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364960
68:AE:20:9F:B8:B4,2015-10-20T11:15:06-03:00,Apple,-67,SODET,2015-10-20T15:15:48-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364960
8C:3A:E3:09:8C:83,2015-10-20T10:29:38-03:00,LG Electronics,-65,"SODET,IKW-WIFI",2015-10-20T15:15:54-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364960
7C:E9:D3:CA:9D:C4,2015-10-20T10:29:38-03:00,"Hon Hai Precision Ind. Co.,Ltd.",-59,SODET,2015-10-20T15:15:57-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364960
44:80:EB:B9:BA:C0,2015-10-20T10:29:42-03:00,Unknown,-55,"SODET,TIM Wi-Fi SIM,CLARO-WIFI,Personal EAP,MOVISTAR WIFI,VIVO-WIFI,GVT-809E,TSI@ccess-38601 (4141-2433),SODET SP,WZ-HOTEIS",2015-10-20T15:15:53-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364960
F0:25:B7:8B:9E:28,2015-10-20T10:59:08-03:00,"Samsung Electro Mechanics co., LTD.",-53,,2015-10-20T15:15:50-03:00,001,,,,,1445364960
9C:D9:17:E0:7B:29,2015-10-20T10:31:33-03:00,Motorola Mobility LLC,-53,"SODET,Milkyway,Milkyway N,MPL Chromecast",2015-10-20T15:15:57-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364960
68:17:29:50:0B:04,2015-10-20T10:29:39-03:00,Intel Corporate,-53,,2015-10-20T15:15:57-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364960
C0:BD:D1:E7:5B:03,2015-10-20T10:30:15-03:00,"Samsung Electro Mechanics co., LTD.",-45,SODET,2015-10-20T15:15:55-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364960
68:17:29:00:30:48,2015-10-20T10:29:38-03:00,Intel Corporate,-41,,2015-10-20T15:15:57-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364960
E0:B9:A5:42:94:43,2015-10-20T11:42:51-03:00,Azurewave,-87,SDEC,2015-10-20T15:16:02-03:00,001,,,,,1445364970
60:BE:B5:96:0C:DB,2015-10-20T11:03:05-03:00,Motorola Mobility LLC,-63,"Rangel wifi 2,rafael,HELIO,Tavares Wi-Fi,SODET,genomika-sala02,freda,Nexos_2,Rangel wifi,GVT-9F6F",2015-10-20T15:16:05-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364970
E4:90:7E:8A:20:A6,2015-10-20T10:49:30-03:00,Unknown,-85,"Branca cabelos.com,Teatro_Mamulengo 3224-1500,Vanessa-e-Milson...,RioMar,ConectaRecife,fullmetal,TA-LISO-USA-Aiiii.,RecifeLink_Nadir,Baratinho do Bode,""recife. pe """,2015-10-20T15:16:06-03:00,001,,,,,1445364970
20:A9:9B:6B:B2:84,2015-10-20T15:15:01-03:00,Microsoft Corporation,-93,"Seu_Boteco_Cliente,galetus-cliente,GVT-BB3B,Shopping Guararapes",2015-10-20T15:16:01-03:00,001,,,,,1445364970
A0:99:9B:64:0F:23,2015-10-20T11:50:40-03:00,Unknown,-87,"SODET,IKW-WIFI",2015-10-20T15:16:05-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364970
8C:3A:E3:09:8C:83,2015-10-20T10:29:38-03:00,LG Electronics,-65,"SODET,IKW-WIFI",2015-10-20T15:16:07-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364970
2C:F0:EE:F2:48:13,2015-10-20T10:30:59-03:00,Apple,-63,SODET,2015-10-20T15:16:07-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364970
5C:51:88:D4:43:F1,2015-10-20T10:30:15-03:00,Unknown,-49,"SODET,WifiLab-Irineu,GVT-A4F0,La Cantina,Cetuati,CINUFPE,CINGUESTS,UFPE Livre,CIn-GUESTS2,ConectaRecife",2015-10-20T15:16:05-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364970
7C:E9:D3:CA:9D:C4,2015-10-20T10:29:38-03:00,"Hon Hai Precision Ind. Co.,Ltd.",-59,SODET,2015-10-20T15:16:04-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364970
F0:25:B7:8B:9E:28,2015-10-20T10:59:08-03:00,"Samsung Electro Mechanics co., LTD.",-59,,2015-10-20T15:15:58-03:00,001,,,,,1445364970
F0:27:65:58:21:84,2015-10-20T10:30:02-03:00,"Murata Manufactuaring Co.,Ltd.",-55,SODET,2015-10-20T15:16:03-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364970
68:17:29:50:0B:04,2015-10-20T10:29:39-03:00,Intel Corporate,-49,,2015-10-20T15:16:07-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364970
E0:75:7D:84:32:0B,2015-10-20T10:29:44-03:00,Motorola Mobility LLC,-49,,2015-10-20T15:16:07-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364970
68:17:29:00:30:48,2015-10-20T10:29:38-03:00,Intel Corporate,-41,,2015-10-20T15:16:07-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364970
B4:52:7D:09:4C:E5,2015-10-20T14:52:34-03:00,Sony Mobile Communications AB,-81,ConectaRecife,2015-10-20T15:16:17-03:00,001,,,,,1445364980
A0:99:9B:64:0F:23,2015-10-20T11:50:40-03:00,Unknown,-83,"SODET,IKW-WIFI",2015-10-20T15:16:17-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364980
34:FC:EF:B0:BC:C3,2015-10-20T13:12:45-03:00,Unknown,-79,,2015-10-20T15:16:09-03:00,001,,,,,1445364980
8C:3A:E3:09:8C:83,2015-10-20T10:29:38-03:00,LG Electronics,-67,"SODET,IKW-WIFI",2015-10-20T15:16:17-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364980
60:BE:B5:96:0C:DB,2015-10-20T11:03:05-03:00,Motorola Mobility LLC,-65,"Rangel wifi 2,rafael,HELIO,Tavares Wi-Fi,SODET,genomika-sala02,freda,Nexos_2,Rangel wifi,GVT-9F6F",2015-10-20T15:16:14-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364980
2C:F0:EE:F2:48:13,2015-10-20T10:30:59-03:00,Apple,-63,SODET,2015-10-20T15:16:17-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364980
7C:E9:D3:CA:9D:C4,2015-10-20T10:29:38-03:00,"Hon Hai Precision Ind. Co.,Ltd.",-59,SODET,2015-10-20T15:16:17-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364980
44:80:EB:B9:BA:C0,2015-10-20T10:29:42-03:00,Unknown,-59,"SODET,TIM Wi-Fi SIM,CLARO-WIFI,Personal EAP,MOVISTAR WIFI,VIVO-WIFI,GVT-809E,TSI@ccess-38601 (4141-2433),SODET SP,WZ-HOTEIS",2015-10-20T15:16:17-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364980
F0:25:B7:8B:9E:28,2015-10-20T10:59:08-03:00,"Samsung Electro Mechanics co., LTD.",-53,,2015-10-20T15:16:10-03:00,001,,,,,1445364980
F0:27:65:58:21:84,2015-10-20T10:30:02-03:00,"Murata Manufactuaring Co.,Ltd.",-51,SODET,2015-10-20T15:16:08-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364980
9C:D9:17:E0:7B:29,2015-10-20T10:31:33-03:00,Motorola Mobility LLC,-47,"SODET,Milkyway,Milkyway N,MPL Chromecast",2015-10-20T15:16:12-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364980
68:17:29:50:0B:04,2015-10-20T10:29:39-03:00,Intel Corporate,-47,,2015-10-20T15:16:17-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364980
C0:BD:D1:E7:5B:03,2015-10-20T10:30:15-03:00,"Samsung Electro Mechanics co., LTD.",-45,SODET,2015-10-20T15:16:17-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364980
68:17:29:00:30:48,2015-10-20T10:29:38-03:00,Intel Corporate,-43,,2015-10-20T15:16:17-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445364980
E0:75:7D:84:32:0B,2015-10-20T10:29:44-03:00,Motorola Mobility LLC,-77,,2015-10-20T11:57:11-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353033
44:80:EB:B9:BA:C0,2015-10-20T10:29:42-03:00,Unknown,-51,"SODET,TIM Wi-Fi SIM,CLARO-WIFI,Personal EAP,MOVISTAR WIFI,VIVO-WIFI,GVT-809E,TSI@ccess-38601 (4141-2433),SODET SP,WZ-HOTEIS",2015-10-20T11:57:11-03:00,001,DC:9F:DB:B2:56:65,SODET,,,1445353033
5C:51:88:63:A7:11,2015-10-20T11:57:00-03:00,Unknown,-91,ALISON FONTES,2015-10-20T11:57:00-03:00,001,,,,,1445353033
40:78:6A:6A:E8:E9,2015-10-20T11:56:42-03:00,Motorola Mobility LLC,-87,"VIVO-WIFI,netvirtua n400 casa 05,GVT-0728,POUSADACAPITALDASAGUAS1,ANDE,netvirtua casa 03 280,PousadaEcoMaceio,TIM Wi-Fi SIM,CLARO-WIFI,MOVISTAR WIFI",2015-10-20T11:57:12-03:00,001,,,,,1445353033
5C:51:88:37:D4:7D,2015-10-20T11:54:48-03:00,Unknown,-87,ALISON FONTES,2015-10-20T11:56:59-03:00,001,,,,,1445353033
DC:2B:61:2F:1D:87,2015-10-20T11:45:49-03:00,Apple,-87,"GVT-6DFB,RAIZES_INT,kaiada2,GVT-4A80,Uh 01,Restaurante Caro\u00C3\u00A1,UH 02,Ordones Clientes,HWF3C41,DH03",2015-10-20T11:57:09-03:00,001,,,,,1445353033
10:D5:42:10:01:BD,2015-10-20T11:55:48-03:00,"Samsung Electronics Co.,Ltd",-87,ConectaRecife,2015-10-20T11:56:58-03:00,001,,,,,1445353033
52:6C:6A:4D:51:8E,2015-10-20T11:57:06-03:00,Unknown,-87,,2015-10-20T11:57:06-03:00,001,,,,,1445353033
